Year/District,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Gurdaspur,2076,2155,2084,2148,1571,2175,4722,4926,4069,NA,3526,NA,3640,3842,4248,4684,4684,4557,4625,3408,3342,3306,3188,3136,3214,3071,3091,2818,2646
Pathankot,782,765,761,775,612,745,2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,2187,2263,2316,2213,1481,2260,3952,3151,3532,NA,2465,NA,3900,3769,3787,4419,4419,4690,4747,5190,5070,4909,4854,4144,3794,3759,3856,3991,3988
Tarn Taran,1056,1090,946,1016,917,1099,680,1557,1474,NA,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,1063,1148,1049,1097,643,1123,1801,2928,1407,NA,1002,NA,1045,992,965,971,971,996,1103,1070,1107,997,1062,1058,986,935,947,958,936
Jalandhar,2010,2110,2119,2069,1301,2155,2807,4210,2419,NA,1751,NA,1926,1970,2103,2260,2260,2476,2626,2726,2680,2654,3440,3738,3788,3680,3431,3485,3368
SBS Nagar,673,724,693,720,524,811,841,926,904,NA,605,NA,582,582,606,538,538,518,555,565,598,569,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,1984,2108,2048,2104,1488,2160,2227,5900,2576,NA,910,NA,1535,1709,2044,2191,2191,2304,2430,2480,2494,2462,2604,2589,2495,2528,2537,2539,2510
Rupnagar,804,843,790,835,599,1827,1733,1064,1011,NA,754,NA,1372,1426,1552,1549,1549,1619,1601,1680,1724,1657,1690,1701,1604,1562,1650,1640,1584
SAS Nagar,1288,1268,1115,1116,413,1409,1538,1660,1201,NA,659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,2568,2737,2683,2604,1967,2633,4948,5382,4613,NA,3315,NA,3242,3260,3605,3650,3650,4034,3906,3941,3840,3686,3702,3646,3081,2562,3507,3550,3450
Ferozepur,965,938,788,869,933,771,1844,3188,2660,NA,2128,NA,2044,2039,2091,2093,2093,2109,2390,2419,2466,2384,2339,2318,2302,2363,2448,2229,2361
Fazilka,802,783,775,768,1321,911,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,656,668,662,684,550,676,1802,1290,1060,NA,804,NA,756,743,728,725,725,780,804,824,819,771,2414,2727,2699,2542,2502,2568,2377
Sri Muktsar Sahib,831,827,738,771,785,1080,1900,1472,1411,NA,987,NA,899,965,965,892,892,972,973,895,898,786,NA,NA,NA,NA,NA,NA,NA
Moga,983,1109,908,920,730,1000,2003,1772,1601,NA,1090,NA,1015,1040,1109,1109,1109,1328,1210,1143,1164,1145,NA,NA,NA,NA,NA,NA,NA
Bathinda,1171,1103,1071,1090,891,1105,3163,2338,2076,NA,1281,NA,1798,1817,1978,1769,1769,1731,1663,1728,1641,1627,1698,1529,1455,1435,1680,1682,1772
Mansa,660,625,600,622,745,692,1393,1007,903,NA,435,NA,578,583,630,523,523,559,600,564,565,500,480,480,454,470,NA,NA,NA
Sangrur,1387,1321,1326,1372,1403,862,2146,2346,1643,NA,1473,NA,1619,1667,1667,1677,1677,1800,1863,1818,1559,1482,1475,1498,1834,1782,1761,1774,1782
Barnala,476,450,452,474,425,517,1016,817,529,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,1875,1788,1784,1820,1421,775,3441,3099,2129,NA,2346,NA,2232,2546,2532,2508,2508,2645,2749,2804,2918,2683,2692,2671,2693,2629,3215,3218,3051
Fatehgarh Sahib,760,762,747,765,548,782,1307,1126,775,NA,540,NA,479,438,516,511,511,567,615,516,598,552,559,584,595,628,NA,NA,NA
Punjab,27057,27585,26455,26852,21268,27568,48557,50159,37993,NA,27465,NA,28662,29388,31126,32069,32069,33685,34460,33771,33483,32170,32197,31819,30994,29946,30625,30452,29825
